"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"70","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_1664_f_cost.2ndline.U","low"
"71","current",2945686187.71224,120329.577702714,0,0,0,"complicated_IV_1664_f_r.prev","low"
"72","iFAST",2945086452.51351,120144.596813938,-599735.198728561,184.980888775826,4299352.97424509,"complicated_IV_1664_f_r.prev","low"
"73","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_sensitivity.i","low"
"74","iFAST",2945123433.28772,120150.333962151,-557617.81829834,178.380464557384,4125227.10944601,"complicated_IV_1664_f_sensitivity.i","low"
"75","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_specificity.i","low"
"76","iFAST",2945069981.49066,120142.733907369,-611069.61536026,185.980519339428,4330680.00214881,"complicated_IV_1664_f_specificity.i","low"
"77","current",2945723787.33937,120335.408481497,0,0,0,"complicated_IV_1664_f_sensitivity.c","low"
"78","iFAST",2945074912.96261,120142.733907369,-648874.376760483,192.674574128367,4502365.85932782,"complicated_IV_1664_f_sensitivity.c","low"
"79","current",2945676751.42371,120328.714426708,0,0,0,"complicated_IV_1664_f_specificity.c","low"
"80","iFAST",2945074912.96261,120142.733907369,-601838.461093903,185.980519339428,4321448.84788246,"complicated_IV_1664_f_specificity.c","low"
"81","current",2945663794.00455,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.empiricuti.U","low"
"82","iFAST",2945058239.70375,120142.733907369,-605554.300805092,185.980519339428,4325164.68759365,"complicated_IV_1664_f_cost.empiricuti.U","low"
"83","current",2945679876.49005,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.empiricuti.current","low"
"84","iFAST",2945073571.03126,120142.733907369,-606305.458784103,185.980519339428,4325915.84557266,"complicated_IV_1664_f_cost.empiricuti.current","low"
"85","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.empiricuti.ifast","low"
"86","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_f_cost.empiricuti.ifast","low"
"87","current",2945673261.54746,120328.714426708,0,0,0,"complicated_IV_1664_f_cost.2ndline.U","low"
"88","iFAST",2945066013.83892,120142.733907369,-607247.708534718,185.980519339428,4326858.09532327,"complicated_IV_1664_f_cost.2ndline.U","low"
"89","current",2945976201.99433,120382.644524384,0,0,0,"uncomplicated_65100_f_r.prev","low"
"90","iFAST",2945572401.4458,120227.12654298,-403800.548531055,155.517981404118,3514160.17661342,"uncomplicated_65100_f_r.prev","low"
"91","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_f_sensitivity.i","low"
"92","iFAST",2945945195.13395,120274.267210867,264144.027932167,54.4472158415883,824800.2888996,"uncomplicated_65100_f_sensitivity.i","low"
"93","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_f_specificity.i","low"
"94","iFAST",2945126706.06886,120142.733907369,-554345.037165165,185.980519339413,4273955.42395343,"uncomplicated_65100_f_specificity.i","low"
"95","current",2946480520.55069,120449.545187988,0,0,0,"uncomplicated_65100_f_sensitivity.c","low"
"96","iFAST",2945074912.96261,120142.733907369,-1405607.58807707,306.811280619484,7541833.20046675,"uncomplicated_65100_f_sensitivity.c","low"
"97","current",2945728308.1369,120328.714426708,0,0,0,"uncomplicated_65100_f_specificity.c","low"
"98","iFAST",2945074912.96261,120142.733907369,-653395.174285889,185.980519339428,4373005.56107444,"uncomplicated_65100_f_specificity.c","low"
"99","current",2945572000.23987,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.empiricuti.U","low"
"100","iFAST",2944967997.40273,120142.733907369,-604002.837142944,185.980519339428,4323613.2239315,"uncomplicated_65100_f_cost.empiricuti.U","low"
"101","current",2945665927.01146,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.empiricuti.current","low"
"102","iFAST",2945058365.33054,120142.733907369,-607561.68091774,185.980519339428,4327172.06770629,"uncomplicated_65100_f_cost.empiricuti.current","low"
"103","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.empiricuti.ifast","low"
"104","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_65100_f_cost.empiricuti.ifast","low"
"105","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_f_cost.2ndline.U","low"
"106","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_65100_f_cost.2ndline.U","low"
"107","current",2945720242.23336,120333.393225572,0,0,0,"complicated_IV_65100_f_r.prev","low"
"108","iFAST",2945138241.5493,120150.062855875,-582000.684063435,183.330369697083,4248608.0780051,"complicated_IV_65100_f_r.prev","low"
"109","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_sensitivity.i","low"
"110","iFAST",2945342567.63837,120172.229692388,-338483.467653751,156.484734320096,3468178.15405568,"complicated_IV_65100_f_sensitivity.i","low"
"111","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_specificity.i","low"
"112","iFAST",2945056566.85661,120142.733907369,-624484.249416828,185.980519339428,4344094.63620538,"complicated_IV_65100_f_specificity.i","low"
"113","current",2945926910.66258,120355.808370116,0,0,0,"complicated_IV_65100_f_sensitivity.c","low"
"114","iFAST",2945074912.96261,120142.733907369,-851997.699967384,213.074462746576,5113486.9548989,"complicated_IV_65100_f_sensitivity.c","low"
"115","current",2945664312.99357,120328.714426708,0,0,0,"complicated_IV_65100_f_specificity.c","low"
"116","iFAST",2945074912.96261,120142.733907369,-589400.03095293,185.980519339428,4309010.41774148,"complicated_IV_65100_f_specificity.c","low"
"117","current",2945617870.63455,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.empiricuti.U","low"
"118","iFAST",2945013217.43553,120142.733907369,-604653.199017525,185.980519339428,4324263.58580608,"complicated_IV_65100_f_cost.empiricuti.U","low"
"119","current",2945676484.99349,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.empiricuti.current","low"
"120","iFAST",2945069921.3004,120142.733907369,-606563.693082333,185.980519339428,4326174.07987089,"complicated_IV_65100_f_cost.empiricuti.current","low"
"121","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.empiricuti.ifast","low"
"122","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_65100_f_cost.empiricuti.ifast","low"
"123","current",2945650770.57026,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.2ndline.U","low"
"124","iFAST",2945041810.36059,120142.733907369,-608960.209670544,185.980519339428,4328570.5964591,"complicated_IV_65100_f_cost.2ndline.U","low"
"125","current",2945728339.6118,120339.415300903,0,0,0,"uncomplicated_1664_m_r.prev","low"
"126","iFAST",2945151445.74738,120158.932733399,-576893.864418507,180.482567503757,4186545.21449365,"uncomplicated_1664_m_r.prev","low"
"127","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_m_sensitivity.i","low"
"128","iFAST",2945208480.94472,120167.939660852,-472570.161306381,160.774765855982,3688065.47842602,"uncomplicated_1664_m_sensitivity.i","low"
"129","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_m_specificity.i","low"
"130","iFAST",2945082689.97315,120142.733907369,-598361.132875919,185.980519339442,4317971.51966476,"uncomplicated_1664_m_specificity.i","low"
"131","current",2945804383.23737,120351.988562228,0,0,0,"uncomplicated_1664_m_sensitivity.c","low"
"132","iFAST",2945074912.96261,120142.733907369,-729470.274758339,209.254654859411,4914563.37194656,"uncomplicated_1664_m_sensitivity.c","low"
"133","current",2945688186.50379,120328.714426708,0,0,0,"uncomplicated_1664_m_specificity.c","low"
"134","iFAST",2945074912.96261,120142.733907369,-613273.541172504,185.980519339399,4332883.92796048,"uncomplicated_1664_m_specificity.c","low"
"135","current",2945644322.85132,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.empiricuti.U","low"
"136","iFAST",2945038863.32426,120142.733907369,-605459.527059078,185.980519339428,4325069.91384763,"uncomplicated_1664_m_cost.empiricuti.U","low"
"137","current",2945678859.09258,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.empiricuti.current","low"
"138","iFAST",2945072527.65906,120142.733907369,-606331.433513641,185.980519339428,4325941.8203022,"uncomplicated_1664_m_cost.empiricuti.current","low"
"139","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.empiricuti.ifast","low"
"140","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_1664_m_cost.empiricuti.ifast","low"
"141","current",2945662966.99509,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.2ndline.U","low"
"142","iFAST",2945055234.20831,120142.733907369,-607732.786777973,185.980519339428,4327343.17356653,"uncomplicated_1664_m_cost.2ndline.U","low"
"143","current",2945687450.90839,120329.642887017,0,0,0,"complicated_IV_1664_m_r.prev","low"
"144","iFAST",2945084813.37477,120144.140675794,-602637.533619881,185.502211223604,4312681.75809196,"complicated_IV_1664_m_r.prev","low"
"145","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_sensitivity.i","low"
"146","iFAST",2945116160.76793,120148.386194563,-564890.338090897,180.328232145068,4171454.98099225,"complicated_IV_1664_m_sensitivity.i","low"
"147","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_specificity.i","low"
"148","iFAST",2945071200.62363,120142.733907369,-609850.48238802,185.980519339428,4329460.86917657,"complicated_IV_1664_m_specificity.i","low"
"149","current",2945719135.49449,120333.933223216,0,0,0,"complicated_IV_1664_m_sensitivity.c","low"
"150","iFAST",2945074912.96261,120142.733907369,-644222.531872272,191.199315846883,4468208.84880994,"complicated_IV_1664_m_sensitivity.c","low"
"151","current",2945677645.27441,120328.714426708,0,0,0,"complicated_IV_1664_m_specificity.c","low"
"152","iFAST",2945074912.96261,120142.733907369,-602732.311798096,185.980519339428,4322342.69858665,"complicated_IV_1664_m_specificity.c","low"
"153","current",2945670275.76219,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.empiricuti.U","low"
"154","iFAST",2945064376.64637,120142.733907369,-605899.115820885,185.980519339428,4325509.50260944,"complicated_IV_1664_m_cost.empiricuti.U","low"
"155","current",2945680267.45101,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.empiricuti.current","low"
"156","iFAST",2945074060.88368,120142.733907369,-606206.567335129,185.980519339428,4325816.95412368,"complicated_IV_1664_m_cost.empiricuti.current","low"
"157","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.empiricuti.ifast","low"
"158","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_m_cost.empiricuti.ifast","low"
"159","current",2945676662.63797,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.2ndline.U","low"
"160","iFAST",2945070141.32057,120142.733907369,-606521.317401886,185.980519339428,4326131.70419044,"complicated_IV_1664_m_cost.2ndline.U","low"
"161","current",2945874161.99461,120372.447174648,0,0,0,"uncomplicated_65100_m_r.prev","low"
"162","iFAST",2945399716.99765,120211.018926164,-474444.996953487,161.428248484095,3703009.96663539,"uncomplicated_65100_m_r.prev","low"
"163","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_m_sensitivity.i","low"
"164","iFAST",2945643466.63531,120249.148437855,-37584.4707102776,79.5659888538066,1628904.24778641,"uncomplicated_65100_m_sensitivity.i","low"
"165","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_m_specificity.i","low"
"166","iFAST",2945110028.70964,120142.733907369,-571022.396386623,185.980519339413,4290632.78317489,"uncomplicated_65100_m_specificity.i","low"
"167","current",2946203517.27754,120426.502894385,0,0,0,"uncomplicated_65100_m_sensitivity.c","low"
"168","iFAST",2945074912.96261,120142.733907369,-1128604.31493044,283.768987016243,6803984.0552553,"uncomplicated_65100_m_sensitivity.c","low"
"169","current",2945713102.94317,120328.714426708,0,0,0,"uncomplicated_65100_m_specificity.c","low"
"170","iFAST",2945074912.96261,120142.733907369,-638189.98055315,185.980519339399,4357800.36734112,"uncomplicated_65100_m_specificity.c","low"
"171","current",2945514937.86935,120328.714426708,0,0,0,"uncomplicated_65100_m_cost.empiricuti.U","low"
"172","iFAST",2944912040.50226,120142.733907369,-602897.367093563,185.980519339428,4322507.75388212,"uncomplicated_65100_m_cost.empiricuti.U","low"
"173","current",2945671203.65294,120328.714426708,0,0,0,"uncomplicated_65100_m_cost.empiricuti.current","low"
"174","iFAST",2945064142.44011,120142.733907369,-607061.212822437,185.980519339428,4326671.59961099,"uncomplicated_65100_m_cost.empiricuti.current","low"
"175","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_m_cost.empiricuti.ifast","low"
"176","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_65100_m_cost.empiricuti.ifast","low"
"177","current",2945599809.61807,120328.714426708,0,0,0,"uncomplicated_65100_m_cost.2ndline.U","low"
"178","iFAST",2944986056.152,120142.733907369,-613753.466078281,185.980519339428,4333363.85286684,"uncomplicated_65100_m_cost.2ndline.U","low"
"179","current",2945707535.91062,120332.508554267,0,0,0,"complicated_IV_65100_m_r.prev","low"
"180","iFAST",2945117181.75577,120148.664007206,-590354.154854774,183.844547060668,4267245.09606813,"complicated_IV_65100_m_r.prev","low"
"181","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_m_sensitivity.i","low"
"182","iFAST",2945250756.68424,120166.596902153,-430294.421783924,162.117524555521,3672644.91289433,"complicated_IV_65100_m_sensitivity.i","low"
"183","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_m_specificity.i","low"
"184","iFAST",2945058150.54402,120142.733907369,-622900.562001228,185.980519339428,4342510.94878978,"complicated_IV_65100_m_specificity.i","low"
"185","current",2945842629.82702,120350.641579681,0,0,0,"complicated_IV_65100_m_sensitivity.c","low"
"186","iFAST",2945074912.96261,120142.733907369,-767716.86440134,207.907672311718,4925870.3106357,"complicated_IV_65100_m_sensitivity.c","low"
"187","current",2945665752.35657,120328.714426708,0,0,0,"complicated_IV_65100_m_specificity.c","low"
"188","iFAST",2945074912.96261,120142.733907369,-590839.39395237,185.980519339428,4310449.78074092,"complicated_IV_65100_m_specificity.c","low"
"189","current",2945632305.3793,120328.714426708,0,0,0,"complicated_IV_65100_m_cost.empiricuti.U","low"
"190","iFAST",2945027308.75683,120142.733907369,-604996.622472286,185.980519339428,4324607.00926084,"complicated_IV_65100_m_cost.empiricuti.U","low"
"191","current",2945677530.41043,120328.714426708,0,0,0,"complicated_IV_65100_m_cost.empiricuti.current","low"
"192","iFAST",2945071065.49576,120142.733907369,-606464.914668083,185.980519339428,4326075.30145664,"complicated_IV_65100_m_cost.empiricuti.current","low"
"193","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_m_cost.empiricuti.ifast","low"
"194","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_65100_m_cost.empiricuti.ifast","low"
"195","current",2945661335.21069,120328.714426708,0,0,0,"complicated_IV_65100_m_cost.2ndline.U","low"
"196","iFAST",2945053367.14823,120142.733907369,-607968.062464714,185.980519339428,4327578.44925327,"complicated_IV_65100_m_cost.2ndline.U","low"
"197","current",2945690505.21806,120330.758595482,0,0,0,"complicated_oral_1664_f_r.prev","low"
"198","iFAST",2945099238.03715,120147.150285695,-591267.180905819,183.608309787174,4263433.3766493,"complicated_oral_1664_f_r.prev","low"
"199","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_1664_f_sensitivity.i","low"
"200","iFAST",2945142890.5445,120153.675042758,-538160.561523914,175.039383950512,4038948.24053416,"complicated_oral_1664_f_sensitivity.i","low"
"201","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_1664_f_specificity.i","low"
"202","iFAST",2945077057.24557,120142.733907369,-603993.860447407,185.980519339428,4323604.24723596,"complicated_oral_1664_f_specificity.i","low"
"203","current",2945740919.00461,120338.350291441,0,0,0,"complicated_oral_1664_f_sensitivity.c","low"
"204","iFAST",2945074912.96261,120142.733907369,-666006.041995049,195.616384072244,4578333.72343992,"complicated_oral_1664_f_sensitivity.c","low"
"205","current",2945682920.47103,120328.714426708,0,0,0,"complicated_oral_1664_f_specificity.c","low"
"206","iFAST",2945074912.96261,120142.733907369,-608007.508411407,185.980519339428,4327617.89519996,"complicated_oral_1664_f_specificity.c","low"
"207","current",2945678739.09505,120328.714426708,0,0,0,"complicated_oral_1664_f_cost.empiricuti.U","low"
"208","iFAST",2945072693.05319,120142.733907369,-606046.041852474,185.980519339428,4325656.42864103,"complicated_oral_1664_f_cost.empiricuti.U","low"
"209","current",2945680895.33621,120328.714426708,0,0,0,"complicated_oral_1664_f_cost.empiricuti.current","low"
"210","iFAST",2945074735.16852,120142.733907369,-606160.167692661,185.980519339428,4325770.55448122,"complicated_oral_1664_f_cost.empiricuti.current","low"
"211","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_1664_f_cost.empiricuti.ifast","low"
"212","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_oral_1664_f_cost.empiricuti.ifast","low"
"213","current",2945675677.04757,120328.714426708,0,0,0,"complicated_oral_1664_f_cost.2ndline.U","low"
"214","iFAST",2945068779.06633,120142.733907369,-606897.981241703,185.980519339428,4326508.36803026,"complicated_oral_1664_f_cost.2ndline.U","low"
"215","current",2945763611.25571,120339.80024995,0,0,0,"complicated_oral_65100_f_r.prev","low"
"216","iFAST",2945213993.0328,120160.108921948,-549618.222909451,179.691328001485,4143444.78293915,"complicated_oral_65100_f_r.prev","low"
"217","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_65100_f_sensitivity.i","low"
"218","iFAST",2945453587.55046,120185.196585504,-227463.555558681,143.517841204113,3097820.37964095,"complicated_oral_65100_f_sensitivity.i","low"
"219","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_65100_f_specificity.i","low"
"220","iFAST",2945082890.17031,120142.733907369,-598160.935709953,185.980519339428,4317771.32249851,"complicated_oral_65100_f_specificity.i","low"
"221","current",2946028866.53991,120367.716713419,0,0,0,"complicated_oral_65100_f_sensitivity.c","low"
"222","iFAST",2945074912.96261,120142.733907369,-953953.577296257,224.982806049578,5453609.69828782,"complicated_oral_65100_f_sensitivity.c","low"
"223","current",2945688328.59473,120328.714426708,0,0,0,"complicated_oral_65100_f_specificity.c","low"
"224","iFAST",2945074912.96261,120142.733907369,-613415.632115841,185.980519339428,4333026.0189044,"complicated_oral_65100_f_specificity.c","low"
"225","current",2945672604.38247,120328.714426708,0,0,0,"complicated_oral_65100_f_cost.empiricuti.U","low"
"226","iFAST",2945066700.451,120142.733907369,-605903.93146944,185.980519339428,4325514.31825799,"complicated_oral_65100_f_cost.empiricuti.U","low"
"227","current",2945680445.7807,120328.714426708,0,0,0,"complicated_oral_65100_f_cost.empiricuti.current","low"
"228","iFAST",2945074251.63009,120142.733907369,-606194.150610924,185.980519339428,4325804.53739948,"complicated_oral_65100_f_cost.empiricuti.current","low"
"229","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_65100_f_cost.empiricuti.ifast","low"
"230","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_oral_65100_f_cost.empiricuti.ifast","low"
"231","current",2945660167.3823,120328.714426708,0,0,0,"complicated_oral_65100_f_cost.2ndline.U","low"
"232","iFAST",2945052096.9904,120142.733907369,-608070.391901016,185.980519339428,4327680.77868957,"complicated_oral_65100_f_cost.2ndline.U","low"
"233","current",2945694297.30668,120330.914415647,0,0,0,"complicated_oral_1664_m_r.prev","low"
"234","iFAST",2945096329.26391,120146.068994939,-597968.042771816,184.845420707366,4294876.45691914,"complicated_oral_1664_m_r.prev","low"
"235","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_1664_m_sensitivity.i","low"
"236","iFAST",2945133040.87175,120150.871050352,-548010.23427248,177.843376356672,4104877.76140592,"complicated_oral_1664_m_sensitivity.i","low"
"237","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_1664_m_specificity.i","low"
"238","iFAST",2945076062.87095,120142.733907369,-604988.235072136,185.980519339428,4324598.62186069,"complicated_oral_1664_m_specificity.i","low"
"239","current",2945734717.58049,120336.227027538,0,0,0,"complicated_oral_1664_m_sensitivity.c","low"
"240","iFAST",2945074912.96261,120142.733907369,-659804.617871284,193.493120168918,4529667.02124964,"complicated_oral_1664_m_sensitivity.c","low"
"241","current",2945682105.99989,120328.714426708,0,0,0,"complicated_oral_1664_m_specificity.c","low"
"242","iFAST",2945074912.96261,120142.733907369,-607193.037271023,185.980519339428,4326803.42405958,"complicated_oral_1664_m_specificity.c","low"
"243","current",2945679836.28957,120328.714426708,0,0,0,"complicated_oral_1664_m_cost.empiricuti.U","low"
"244","iFAST",2945073729.9463,120142.733907369,-606106.343267918,185.980519339428,4325716.73005647,"complicated_oral_1664_m_cost.empiricuti.U","low"
"245","current",2945680963.38161,120328.714426708,0,0,0,"complicated_oral_1664_m_cost.empiricuti.current","low"
"246","iFAST",2945074817.63382,120142.733907369,-606145.747789383,185.980519339428,4325756.13457794,"complicated_oral_1664_m_cost.empiricuti.current","low"
"247","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_1664_m_cost.empiricuti.ifast","low"
"248","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_oral_1664_m_cost.empiricuti.ifast","low"
"249","current",2945678024.61379,120328.714426708,0,0,0,"complicated_oral_1664_m_cost.2ndline.U","low"
"250","iFAST",2945071624.11923,120142.733907369,-606400.494564533,185.980519339428,4326010.88135309,"complicated_oral_1664_m_cost.2ndline.U","low"
"251","current",2945735159.36719,120337.704156747,0,0,0,"complicated_oral_65100_m_r.prev","low"
"252","iFAST",2945165815.53478,120156.792608468,-569343.832417488,180.911548279575,4187574.79800899,"complicated_oral_65100_m_r.prev","low"
"253","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_65100_m_sensitivity.i","low"
"254","iFAST",2945322363.79294,120177.087499168,-358687.313083172,151.626927540798,3391225.86389912,"complicated_oral_65100_m_sensitivity.i","low"
"255","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_65100_m_specificity.i","low"
"256","iFAST",2945080105.17094,120142.733907369,-600945.935078144,185.980519339428,4320556.3218667,"complicated_oral_65100_m_specificity.i","low"
"257","current",2945908412.51918,120360.279005347,0,0,0,"complicated_oral_65100_m_sensitivity.c","low"
"258","iFAST",2945074912.96261,120142.733907369,-833499.556568623,217.54509797832,5184401.51613502,"complicated_oral_65100_m_sensitivity.c","low"
"259","current",2945685789.59139,120328.714426708,0,0,0,"complicated_oral_65100_m_specificity.c","low"
"260","iFAST",2945074912.96261,120142.733907369,-610876.62877655,185.980519339428,4330487.0155651,"complicated_oral_65100_m_specificity.c","low"
"261","current",2945675554.11037,120328.714426708,0,0,0,"complicated_oral_65100_m_cost.empiricuti.U","low"
"262","iFAST",2945069567.83736,120142.733907369,-605986.273010731,185.980519339428,4325596.65979929,"complicated_oral_65100_m_cost.empiricuti.U","low"
"263","current",2945680656.97498,120328.714426708,0,0,0,"complicated_oral_65100_m_cost.empiricuti.current","low"
"264","iFAST",2945074482.51474,120142.733907369,-606174.460242271,185.980519339428,4325784.84703083,"complicated_oral_65100_m_cost.empiricuti.current","low"
"265","current",2945681051.10602,120328.714426708,0,0,0,"complicated_oral_65100_m_cost.empiricuti.ifast","low"
"266","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_oral_65100_m_cost.empiricuti.ifast","low"
"267","current",2945667453.58513,120328.714426708,0,0,0,"complicated_oral_65100_m_cost.2ndline.U","low"
"268","iFAST",2945060062.51094,120142.733907369,-607391.074185371,185.980519339428,4327001.46097393,"complicated_oral_65100_m_cost.2ndline.U","low"
"269","current",2946646919.50602,120328.714426708,0,0,0,"all_all_all_cost.standardtest.U","high"
"270","iFAST",2945074912.96261,120142.733907369,-1572006.54340792,185.980519339428,5291616.93019647,"all_all_all_cost.standardtest.U","high"
"271","current",2945681051.10602,120328.714426708,0,0,0,"all_all_all_cost.ifast.U","high"
"272","iFAST",2946040781.36261,120142.733907369,359730.256592274,185.980519339428,3359880.13019628,"all_all_all_cost.ifast.U","high"
"273","current",3617552549.6077,120328.714426708,0,0,0,"all_all_all_cost.bed.general","high"
"274","iFAST",3616823503.69793,120142.733907369,-729045.909763813,185.980519339428,4448656.29655237,"all_all_all_cost.bed.general","high"
