"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"275","current",3011980127.81298,120328.714426708,0,0,0,"all_all_all_cost.bed.icu","high"
"276","iFAST",3011341143.84067,120142.733907369,-638983.972309589,185.980519339428,4358594.35909814,"all_all_all_cost.bed.icu","high"
"277","current",3696544549.61072,120328.714426708,0,0,0,"uncomplicated_all_all_prop.uti.icu","high"
"278","iFAST",3695851902.04272,120142.733907369,-692647.567997456,185.980519339428,4412257.95478601,"uncomplicated_all_all_prop.uti.icu","high"
"279","current",2969137083.32201,120328.714426708,0,0,0,"complicated_IV_all_all_prop.uti.icu","high"
"280","iFAST",2968522290.71026,120142.733907369,-614792.611748219,185.980519339428,4334402.99853677,"complicated_IV_all_all_prop.uti.icu","high"
"281","current",2969128624.73158,120328.714426708,0,0,0,"complicated_oral_all_all_prop.uti.icu","high"
"282","iFAST",2968507881.53615,120142.733907369,-620743.195425987,185.980519339428,4340353.58221454,"complicated_oral_all_all_prop.uti.icu","high"
"283","current",2945899038.68796,120328.714426708,0,0,0,"all_all_all_prop.bsi.icu","high"
"284","iFAST",2945292815.12751,120142.733907369,-606223.560445309,185.980519339428,4325833.94723386,"all_all_all_prop.bsi.icu","high"
"285","current",2945681051.10602,120011.903483922,0,0,0,"all_all_all_r.multip.mort","high"
"286","iFAST",2945074912.96261,119633.136550509,-606138.143407822,378.766933412742,8181476.81166267,"all_all_all_r.multip.mort","high"
"287","current",2944550149.84413,120144.313260547,0,0,0,"all_all_all_prop.inap","high"
"288","iFAST",2943944258.06529,119958.590740424,-605891.778840542,185.722520122858,4320342.18129769,"all_all_all_prop.inap","high"
"289","current",2945681051.10602,120338.025967468,0,0,0,"all_1664_f_prop.bsi2die","high"
"290","iFAST",2945074912.96261,120152.04029153,-606138.143407822,185.985675937744,4325851.66216269,"all_1664_f_prop.bsi2die","high"
"291","current",2945681051.10602,123764.986337827,0,0,0,"all_1664_f_prop.uti2die","high"
"292","iFAST",2945074912.96261,123571.590639454,-606138.143407822,193.395698372435,4474052.11085652,"all_1664_f_prop.uti2die","high"
"293","current",2890368486.83859,120331.511094,0,0,0,"all_1664_f_p.uti2discharge_other","high"
"294","iFAST",2889791054.88114,120138.464502425,-577431.957452297,193.046591575345,4438363.78895919,"all_1664_f_p.uti2discharge_other","high"
"295","current",2945589533.451,120328.714419341,0,0,0,"all_1664_f_p.bsi2discharge","high"
"296","iFAST",2944983445.98876,120142.733900006,-606087.462236881,185.980519335251,4325697.84894191,"all_1664_f_p.bsi2discharge","high"
"297","current",2945681051.10602,120338.009022049,0,0,0,"all_1664_m_prop.bsi2die","high"
"298","iFAST",2945074912.96261,120152.025178029,-606138.143407822,185.983844019764,4325815.02380309,"all_1664_m_prop.bsi2die","high"
"299","current",2945681051.10602,122870.684599253,0,0,0,"all_1664_m_prop.uti2die","high"
"300","iFAST",2945074912.96261,122681.157297293,-606138.143407822,189.527301960203,4396684.18261188,"all_1664_m_prop.uti2die","high"
"301","current",2899401212.80324,120328.027150159,0,0,0,"all_1664_m_p.uti2discharge_other","high"
"302","iFAST",2898805117.02019,120138.602984292,-596095.783049107,189.424165867327,4384579.10039565,"all_1664_m_p.uti2discharge_other","high"
"303","current",2945585538.95434,120328.714435178,0,0,0,"all_1664_m_p.bsi2discharge","high"
"304","iFAST",2944979434.97567,120142.733915836,-606103.978672028,185.980519342105,4325714.36551413,"all_1664_m_p.bsi2discharge","high"
"305","current",2945681051.10602,120372.778670833,0,0,0,"all_65100_f_prop.bsi2die","high"
"306","iFAST",2945074912.96261,120186.781422905,-606138.143407822,185.997247927866,4326083.10196514,"all_65100_f_prop.bsi2die","high"
