"",".id","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit"
"891",446,"current",3687872328.44464,121453.079512395,0,0,0
"892",446,"iFAST",3690005760.83318,121790.765233238,2133432.38853693,-337.685720843132,-8887146.80539957
"893",447,"current",3486865452.7604,117222.212011718,0,0,0
"894",447,"iFAST",3485578287.06201,116415.320012384,-1287165.69838858,806.891999333558,17425005.6850597
"895",448,"current",3053557439.33193,118938.146031887,0,0,0
"896",448,"iFAST",3054383064.12323,118847.951488539,825624.791298389,90.1945433476503,978266.075654617
"897",449,"current",4193610298.91401,139147.056818095,0,0,0
"898",449,"iFAST",4192822996.71769,139072.799553486,-787302.196324825,74.2572646093613,2272447.48851205
"899",450,"current",2637402935.6219,138633.94530418,0,0,0
"900",450,"iFAST",2635779747.13358,138621.603406099,-1623188.48831558,12.3418980811839,1870026.44993926
"901",451,"current",4334178475.21875,136008.64609443,0,0,0
"902",451,"iFAST",4330611700.58342,135600.892656055,-3566774.6353302,407.753438375687,11721843.4028439
"903",452,"current",2739808475.59444,115373.244075288,0,0,0
"904",452,"iFAST",2739237968.42181,114520.206296578,-570507.172637463,853.037778710277,17631262.746843
"905",453,"current",3147707912.42992,104953.549991771,0,0,0
"906",453,"iFAST",3146171010.55522,104910.801731805,-1536901.87469912,42.7482599655486,2391867.07401009
"907",454,"current",4313188946.19114,120980.095878585,0,0,0
"908",454,"iFAST",4316026827.61958,121306.025382887,2837881.42844486,-325.929504301719,-9356471.51447925
"909",455,"current",3338105397.42169,131761.043901036,0,0,0
"910",455,"iFAST",3329934185.63706,131285.294239505,-8171211.78462839,475.749661530572,17686205.0152398
"911",456,"current",2871579955.80572,142758.023434064,0,0,0
"912",456,"iFAST",2867482935.13796,140826.898918921,-4097020.66775942,1931.12451514314,42719510.9706221
"913",457,"current",3253517695.55142,130664.289321913,0,0,0
"914",457,"iFAST",3245743180.01984,128940.793221608,-7774515.53157806,1723.49610030472,42244437.5376725
"915",458,"current",2457038367.68544,117884.873501848,0,0,0
"916",458,"iFAST",2456480239.82293,117695.100005432,-558127.862504482,189.773496416339,4353597.79083127
"917",459,"current",2838255417.75856,129442.433683491,0,0,0
